Country,Years,Avg_Actual,Avg_Shadow,Avg_Residual,RMSE,MaxAbsResid,TrendResid,Continent,IncomeGroup
Vietnam,26,23.826923076923077,21.451858994417435,2.3750640825056446,5.11012954564721,8.759606795429729,0.012176430065983084,Asia,Lower_Middle_Income
Kuwait,26,50.30769230769231,47.875821834384176,2.431870473308132,6.759722250070136,16.304727448139147,0.4313150144017564,Asia,High_Income
Kyrgyzstan,11,17.181818181818183,14.74794872588172,2.43386945593646,3.628156008878042,7.799885868550868,-0.2361924885574748,Asia,Lower_Middle_Income
Singapore,26,59.88461538461539,57.2835013363637,2.601114048251687,3.308124058503172,7.5235996435769295,-0.15604346169707412,Asia,High_Income
Sweden,26,59.65384615384615,56.96237072672338,2.691475427122771,2.8335064556265253,4.679018345774175,-0.0018467424317935865,Europe,High_Income
Latvia,26,41.21153846153846,38.222822110064705,2.9887163514737574,6.017394567458735,12.084680550986423,-0.09704657420063625,Europe,High_Income
Cayman Islands,26,51.0,48.00335131186181,2.996648688138191,3.3223971014395635,6.124467195613569,0.14385506868097964,North_America,High_Income
Honduras,26,19.615384615384617,16.606675768672826,3.008708846711787,3.541616648568131,6.070774345631833,0.00029519510084782043,North_America,Lower_Middle_Income
Slovenia,26,47.53846153846154,44.284385319566155,3.2540762188953867,6.654126472026139,10.326738750824589,-0.03880283016740066,Europe,High_Income
Netherlands,26,59.92307692307692,56.54446706075707,3.378609862319848,3.835865308538233,7.569314416204392,-0.1732108750662576,Europe,High_Income
Spain,26,49.71153846153846,46.27778484792803,3.4337536136104254,10.198563504167774,15.920838205732267,-0.5068252957645077,Europe,High_Income
Ivory Coast,11,24.545454545454547,21.110946446131127,3.4345080993234194,3.5988100857978287,6.03561212885273,0.23060345113737135,Africa,Lower_Middle_Income
South Africa,26,34.03846153846154,30.588638790813476,3.449822747648062,6.389403851877853,10.178829092543896,-0.42713811327542983,Africa,Upper_Middle_Income
Uganda,18,18.75,15.228947529679829,3.521052470320172,4.254674321261946,7.6675905998265375,-0.39011184829393697,Africa,Low_Income
Bulgaria,26,33.28846153846154,29.736423648364376,3.5520378900971603,5.188866160458376,10.92092008914495,0.4838898569862246,Europe,Upper_Middle_Income
Cambodia,19,18.0,14.396829011940476,3.603170988059524,4.5396137506137055,8.59031044237447,-0.2178416954304332,Asia,Lower_Middle_Income
Estonia,26,47.73076923076923,43.99837367604308,3.7323955547261525,4.819861506388049,10.79540409389665,-0.06075935054299151,Europe,High_Income
Austria,26,59.11538461538461,55.198626436555124,3.916758178829492,4.263998371015904,7.845463711281454,-0.19473618789420954,Europe,High_Income
Indonesia,26,27.692307692307693,23.553624929190224,4.138682763117463,5.415134297318425,10.260380319123513,0.44004097433973594,Asia,Upper_Middle_Income
