ISO3,Year,RuleOfLaw
TZA,2002,-0.457593
UGA,2002,-0.754918
UKR,2002,-0.870207
URY,2002,0.715466
USA,2002,1.652525
UZB,2002,-1.207555
VCT,2002,0.885597
VEN,2002,-1.265208
VNM,2002,-0.849406
VUT,2002,0.954733
WSM,2002,0.723169
XKX,2002,0.0724
YEM,2002,-1.483383
ZAF,2002,0.073162
ZMB,2002,-0.34508
ZWE,2002,-1.880332
AND,2003,0.785507
AFG,2003,-1.984404
AGO,2003,-1.675114
ALB,2003,-0.757627
ARE,2003,0.516034
ARG,2003,-0.78314
ARM,2003,-0.342697
ATG,2003,0.968626
AUS,2003,1.815671
AUT,2003,1.865648
AZE,2003,-0.841422
BDI,2003,-1.555126
BEL,2003,1.312005
BEN,2003,-0.471632
BFA,2003,-0.73576
BGD,2003,-1.177612
BGR,2003,-0.201628
BHR,2003,0.240817
BHS,2003,1.448538
BIH,2003,-0.603403
BLR,2003,-0.929479
BLZ,2003,0.28849
BMU,2003,1.048423
BOL,2003,-0.368217
BRA,2003,-0.38733
BRB,2003,1.498473
BRN,2003,0.779335
BTN,2003,-0.161463
BWA,2003,0.778814
CAF,2003,-1.467573
CAN,2003,1.705306
CHE,2003,1.901811
CHL,2003,1.293414
CHN,2003,-0.750745
CIV,2003,-1.379708
CMR,2003,-1.229768
COD,2003,-2.046191
COG,2003,-1.132389
COL,2003,-0.760678
COM,2003,-0.907331
CPV,2003,0.3911
CRI,2003,0.556833
CUB,2003,-1.220464
CYM,2003,1.048423
CYP,2003,1.05555
CZE,2003,0.861414
DEU,2003,1.696892
DJI,2003,-0.946087
DMA,2003,0.773334
DNK,2003,1.964967
DOM,2003,-0.789915
DZA,2003,-0.634343
ECU,2003,-0.693149
EGY,2003,-0.132301
ERI,2003,-1.024274
ESP,2003,1.17293
EST,2003,0.769893
ETH,2003,-1.052843
FIN,2003,2.034549
FJI,2003,-0.09064
FRA,2003,1.289226
FSM,2003,0.87787
GAB,2003,-0.403782
GBR,2003,1.625804
GEO,2003,-0.906405
GHA,2003,-0.161569
GIN,2003,-1.355896
GMB,2003,0.06179
GNB,2003,-1.353708
GNQ,2003,-1.33012
GRC,2003,0.876769
GRD,2003,0.38275
GTM,2003,-1.064768
GUF,2003,0.793302
GUY,2003,-0.439145
HKG,2003,1.438669
HND,2003,-0.992208
HRV,2003,0.091612
HTI,2003,-1.716867
HUN,2003,0.857212
IDN,2003,-0.935415
IND,2003,0.027553
IRL,2003,1.550882
IRN,2003,-1.086517
IRQ,2003,-1.668585
ISL,2003,1.916973
ISR,2003,0.961472
ITA,2003,0.738404
JAM,2003,-0.305149
JOR,2003,0.027885
JPN,2003,1.152904
KAZ,2003,-1.007681
KEN,2003,-0.912129
KGZ,2003,-0.699328
KHM,2003,-1.29082
KIR,2003,0.87787
KNA,2003,0.87787
KOR,2003,0.784647
KWT,2003,0.480532
LAO,2003,-1.617527
LBN,2003,-0.510837
LBR,2003,-1.794856
LBY,2003,-1.22483
LCA,2003,0.87787
LIE,2003,1.163918
LKA,2003,0.166456
LSO,2003,0.196437
LTU,2003,0.37538
LUX,2003,1.748664
LVA,2003,0.442496
MAC,2003,1.048423
MAR,2003,-0.342922
MCO,2003,0.87787
MDA,2003,-0.539104
MDG,2003,-0.50654
MDV,2003,-0.403052
MEX,2003,-0.239611
MHL,2003,0.87787
MKD,2003,-0.717266
MLI,2003,-0.178747
MLT,2003,1.484469
MMR,2003,-1.828473
MNE,2003,0.157223
MNG,2003,0.145555
MOZ,2003,-0.763026
MRT,2003,-0.654087
MTQ,2003,0.793302
MUS,2003,0.902954
MWI,2003,-0.369092
MYS,2003,0.341007
NAM,2003,0.329183
NER,2003,-0.803658
NGA,2003,-1.425375
NIC,2003,-0.48397
NLD,2003,1.707812
NOR,2003,1.878344
NPL,2003,-0.706325
NRU,2003,0.87787
NZL,2003,1.830828
OMN,2003,0.516851
PAK,2003,-1.00851
PAN,2003,-0.087078
PER,2003,-0.520507
PHL,2003,-0.564444
PLW,2003,0.87787
PNG,2003,-0.631805
POL,2003,0.424154
PRI,2003,0.53818
PRK,2003,-1.362989
PRT,2003,1.256048
PRY,2003,-1.10827
PSE,2003,-0.300795
QAT,2003,0.549562
ROU,2003,-0.281582
RUS,2003,-0.966569
RWA,2003,-1.01647
SAU,2003,-0.108076
SDN,2003,-1.568375
SEN,2003,-0.181895
SGP,2003,1.477489
SLB,2003,0.759762
SLE,2003,-1.164992
SLV,2003,-0.678622
SMR,2003,0.87787
SOM,2003,-2.508038
SRB,2003,-0.877199
STP,2003,-0.167655
SUR,2003,-0.142582
SVK,2003,0.326489
SVN,2003,0.822172
SWE,2003,1.919244
SWZ,2003,-0.476561
SYC,2003,0.543738
SYR,2003,-0.78011
TCD,2003,-1.453572
TGO,2003,-1.191122
THA,2003,-0.00299
TJK,2003,-0.894956
TKM,2003,-1.007395
TLS,2003,-0.020602
TON,2003,-0.046619
TTO,2003,0.275123
TUN,2003,-0.372049
TUR,2003,-0.012483
TUV,2003,0.87787
TWN,2003,0.889007
TZA,2003,-0.444057
UGA,2003,-0.707624
UKR,2003,-0.830218
URY,2003,0.670586
USA,2003,1.59432
UZB,2003,-1.164074
VCT,2003,0.87787
VEN,2003,-1.347578
VNM,2003,-0.832591
VUT,2003,0.949707
WSM,2003,0.721416
XKX,2003,0.672677
YEM,2003,-1.345778
ZAF,2003,0.093666
ZMB,2003,-0.410631
ZWE,2003,-1.819236
ABW,2004,0.607024
AND,2004,0.731683
AFG,2004,-1.746294
AGO,2004,-1.453907
AIA,2004,0.792567
ALB,2004,-0.514493
ANT,2004,0.607024
ARE,2004,0.16439
ARG,2004,-0.660482
ARM,2004,-0.247062
ASM,2004,0.545177
ATG,2004,0.752576
AUS,2004,1.727813
AUT,2004,1.811848
AZE,2004,-0.746224
BDI,2004,-1.26135
BEL,2004,1.241666
BEN,2004,-0.386289
BFA,2004,-0.524934
BGD,2004,-1.036981
BGR,2004,-0.094129
BHR,2004,0.443629
BHS,2004,1.411728
BIH,2004,-0.463779
BLR,2004,-0.754034
BLZ,2004,0.069715
BMU,2004,0.751335
BOL,2004,-0.555608
BRA,2004,-0.292148
BRB,2004,1.379515
BRN,2004,0.621077
BTN,2004,0.076253
BWA,2004,0.673799
CAF,2004,-1.322101
CAN,2004,1.692547
CHE,2004,1.837629
CHL,2004,1.285033
